Folio;Organización de Usuarios (OUA);Nombre del Proyecto;Región;Comuna;Monto Solicitado;Activos a Adquirir;Población Beneficiada;Impacto Esperado;Fuente
Not in source;Comunidades de Aguas y Asociaciones de Canalistas;Fondo de Fortalecimiento para OUA;Valparaíso y Maule;Not in source;$435.000.000 (Total);Equipos de aforo, drones, vehículos (motos, bicicletas), oficinas modulares, herramientas de limpieza y equipos computacionales;94 organizaciones;Fortalecer la capacidad de gestión hídrica y mejorar la mantención de la infraestructura de riego.;1
145356;AC canal Melado;Adquisición de equipos computacionales y otros;Región del Maule;Linares;$5.918.000;6 equipos computacionales y televisor LED de 86 pulgadas;4.200 regantes;Optimizar procesos administrativos, mejorar la atención a regantes y facilitar reuniones telemáticas.;2
148512;JV del Río Biobío;Implementación de sistema de monitoreo de cauces mediante dron;Región del Biobío;Alto Biobío;$6.000.000;Dron DJI Mavic 4 Pro, termoanemómetro, notebook Lenovo y curso de piloto;4.900 usuarios;Mejorar cobertura y oportunidad de monitoreo hídrico, facilitando detección de extracciones no autorizadas.;2
151172;Junta de Vigilancia del Río Teno y sus afluentes;Adquisición de equipo de aforo para el Río Teno;Región del Maule;Curicó;$6.000.000;Estación de telemetría Capta Hydro T5 (sensor radar y gateway 4G);5.000 usuarios;Eliminar dependencia de estaciones DGA poco fiables mediante telemetría para monitoreo de extracción efectiva.;2
151366;Junta de Vigilancia del Río Longaví y sus afluentes;Mejoramiento tecnológico Embalse Bullileo;Región del Maule;Parral;$6.000.000;Caudalímetro ultrasónico Jain Technology XONIC 100;5.000 usuarios;Regular con precisión el caudal de salida del embalse, disminuyendo variabilidad en la distribución hídrica.;2
153761;Junta de Vigilancia del Río Tinguiririca;Fortalecimiento de la capacidad técnica para gestión y vigilancia;Región del Libertador General Bernardo O'Higgins;Chimbarongo;$5.269.406;Molinete YSI FP111, Dron DJI Air 3S, nivel láser Bosch y trípode;6.500 usuarios;Recuperar precisión tras crecidas que alteraron cauces y destruyeron secciones de aforo.;2
152680;Cooperativa de Servicio de Riego del Centro Limitada;Adquisición de paneles fotovoltaicos;Región del Maule;San Clemente;$6.000.000;Sistema fotovoltaico híbrido 8 KWP (14 paneles Jinko y batería de litio);5.500 regantes;Reducir gastos de electricidad para traspasar el ahorro a los regantes en sus cuotas de administración.;2
153608;Junta de Vigilancia del Río Ñuble;Fortalecimiento de la gestión mediante equipamiento computacional y medición;Región de Ñuble;San Carlos;$4.835.514;2 Notebooks Lenovo ThinkPad y Molinete Global Water FP111;4.710 regantes;Procesamiento de imágenes satelitales y realización de aforos confiables para toma de decisiones.;2
145915;JV Río Diguillín y sus Afluentes;Adquisición de instrumentos de medición canales JVRD;Región de Ñuble;Bulnes;$3.189.067;Molinete Global Water FP111 y Medidor JDC Flowatch;3.000 regantes;Aforos precisos y expeditos, eliminando error subjetivo y cumpliendo normativa DGA.;2
146402;JV del Rio Achibueno;Equipo aforador y notebook para la JV Rio Achibueno;Región del Maule;Linares;$5.563.481;Equipo Aforador Gurley 622D y Notebook Asus Vivobook;1.500 a 2.000 agricultores;Autonomía en ajustes de compuertas y creación de registros digitales e históricos.;2
153192;Asociación Canal Lucano;Sistema de monitoreo con cámaras de seguridad;Región del Libertador General Bernardo O'Higgins;Codegua;$559.300;7 cámaras de seguridad inalámbricas con paneles solares y chip 4G;1.200 usuarios;Minimizar robos de agua e identificar acumulación de basura en un trazado de 56 km.;2
153512;Comunidad de agua Hijuela Oriente de Las Perdices;Fortalecimiento de la capacidad operativa para flujo de agua;Región Metropolitana;La Florida;$2.970.000;3 motobombas portátiles Honda WH20 y gabinete metálico;Aprox. 1.000 usuarios;Intervenir oportunamente en más de 30 sifones y marcos de reparto en zona urbana.;2
153533;Asociación de canalistas del Canal Biobío Negrete;Adquisición de dron para monitoreo de canales;Región del Biobío;Nacimiento;$6.000.000;Dron DJI Mavic 4 Pro, termoanemómetro y notebook Lenovo;1.000 usuarios;Aumentar velocidad de inspección de 200 km de canales y detectar filtraciones.;2
152519;Asociación del Canal San Miguel;Equipamiento Canal San Miguel;Región de Valparaíso;San Esteban;$4.530.000;Molinete de aforo superficial FP111 y pasarelas de fierro;1.042 socios;Identificar ramales con pérdidas por conducción y mejorar distribución de derechos.;2
153365;Junta de Vigilancia del Río Lluta y sus Tributarios;Normalización y mejoramiento de servicios higiénicos;Región de Arica y Parinacota;Arica;$6.000.000;Kit estructural, materiales de construcción y red sanitaria;927 accionistas;Recuperar habitabilidad del centro de gobernanza para asambleas masivas.;2
152020;Asociación de Canalistas del Embalse Recoleta;Compra de 3 motocicletas;Región de Coquimbo;Ovalle;$6.000.000;3 Motocicletas Honda XR150L;914 regantes;Acortar plazos de distribución y mejorar bienestar de los celadores.;2
153644;Asociacion de Canalistas Illapel;Adquisición de equipos tecnológicos;Región de Coquimbo;Illapel;$1.524.990;Computador de escritorio y notebook;850 regantes;Reemplazar equipos antiguos para modernizar el almacenamiento de datos.;2
145388;AC Canal Julio Fernandez Sotomayor;Cambio y confección de compuertas para distribución eficiente;Región del Libertador General Bernardo O'Higgins;San Fernando;$3.231.389;Planchas de acero, perfiles y materiales de construcción;170 usuarios;Mejorar eficiencia en el reparto en un 20% y reducir pérdidas por filtración.;2
149743;Comunidad de Aguas Canal Sandoval San Miguel;Adquisición de bicicletas eléctricas;Región del Maule;San Clemente;$3.199.979;2 bicicletas eléctricas Oxford Highway SUV;606 regantes;Reducir tiempo de recorrido y mejorar respuesta ante emergencias para celadores adultos mayores.;2
153330;Asociación de Canalistas Canal Duqueco Cuel;Adquisición de mobiliario y equipamiento;Región del Biobío;Los Angeles;$4.897.818;"Televisión LED 75"", mesa de reuniones y sillas ergonómicas";588 usuarios;Fortalecer coordinación en reuniones de directorio y asambleas.;2
153649;Comunidad de Aguas Canal Melozal;Computadores y equipos de mantención de canales;Región del Maule;Linares;$4.396.386;Soldadora, generador, herramientas de corte y 2 computadores;577 usuarios;Mantener 110 km de red hídrica y reparar infraestructura en sectores sin energía.;2
150066;Asociación del Canal de Duao y Zapata;Adquisición de herramientas de limpieza;Región del Maule;Maule;$5.373.000;Desmalezadoras, podadores, pulverizadoras y motosilleras Stihl;557 regantes;Realizar limpieza técnica en menor tiempo asegurando libre conducción.;2
153575;Comunidad de Aguas Canal Salinas;Compra de equipamiento computacional;Región de Valparaíso;Putaendo;$2.083.899;Proyector, impresora, notebook Lenovo y software;Aprox. 500 comuneros;Almacenamiento seguro de datos y entrega rápida de certificados.;2
153725;Comunidad de aguas Canal Rinconada Grande;Oficinas de la comunidad;Región de Valparaíso;Putaendo;$5.200.530;Container oficina modular y generador;Aprox. 550 usuarios;Habilitar oficina para gestión de cobros y atención administrativa.;2
153201;Comunidad de Aguas del Canal Marañon;Adquisición de flujómetro electromagnético;Región de Atacama;Vallenar;$6.000.000;Flujómetro electromagnético portátil Valeport 801;478 usuarios;Cuantificar caudales con exactitud eliminando incertidumbre en el reparto.;2
153699;Comunidad de Aguas del Canal Collico.;Habilitación de oficina para gestión de usuarios;Región de Ñuble;Coihueco;$5.109.958;Módulo oficina, 2 notebooks, impresora y proyector;426 canalistas;Establecer un punto visible de encuentro tras 30 años sin oficina propia.;2
